seed,model,test_accuracy,f1
0,Decision Tree,0.926,0.9292543021032504
0,AdaBoost + Decision Tree,0.97,0.9702970297029703
0,SVM (Linear),0.664,0.6666666666666666
0,SVM (Polynomial),0.98,0.9803149606299213
0,SVM (RBF),0.978,0.9783037475345168
0,SVM (Sigmoid),0.824,0.8287937743190662
1,Decision Tree,0.95,0.9508840864440079
1,AdaBoost + Decision Tree,0.974,0.9740518962075848
1,SVM (Linear),0.686,0.685370741482966
1,SVM (Polynomial),0.976,0.9761904761904762
1,SVM (RBF),0.978,0.9782178217821782
1,SVM (Sigmoid),0.834,0.8323232323232324
2,Decision Tree,0.946,0.945010183299389
2,AdaBoost + Decision Tree,0.972,0.9718875502008032
2,SVM (Linear),0.668,0.6693227091633466
2,SVM (Polynomial),0.982,0.9818913480885312
2,SVM (RBF),0.98,0.9799196787148594
2,SVM (Sigmoid),0.818,0.8176352705410822
3,Decision Tree,0.948,0.9475806451612904
3,AdaBoost + Decision Tree,0.976,0.976
3,SVM (Linear),0.67,0.665314401622718
3,SVM (Polynomial),0.984,0.9840637450199203
3,SVM (RBF),0.99,0.9900199600798403
3,SVM (Sigmoid),0.842,0.8441814595660749
4,Decision Tree,0.942,0.9418837675350702
4,AdaBoost + Decision Tree,0.972,0.972
4,SVM (Linear),0.684,0.6814516129032258
4,SVM (Polynomial),0.978,0.9778672032193159
4,SVM (RBF),0.974,0.9739478957915831
4,SVM (Sigmoid),0.838,0.8408644400785854
5,Decision Tree,0.94,0.9402390438247012
5,AdaBoost + Decision Tree,0.968,0.9678714859437751
5,SVM (Linear),0.654,0.6505050505050505
5,SVM (Polynomial),0.98,0.9799196787148594
5,SVM (RBF),0.982,0.9819639278557114
5,SVM (Sigmoid),0.828,0.8273092369477911
6,Decision Tree,0.954,0.9539078156312625
6,AdaBoost + Decision Tree,0.966,0.9660678642714571
6,SVM (Linear),0.674,0.6720321931589537
6,SVM (Polynomial),0.966,0.96579476861167
6,SVM (RBF),0.962,0.9619238476953907
6,SVM (Sigmoid),0.832,0.832
7,Decision Tree,0.96,0.9596774193548387
7,AdaBoost + Decision Tree,0.99,0.9899799599198397
7,SVM (Linear),0.672,0.672
7,SVM (Polynomial),0.988,0.9879032258064516
7,SVM (RBF),0.984,0.9838709677419355
7,SVM (Sigmoid),0.838,0.8389662027833003
8,Decision Tree,0.952,0.9523809523809523
8,AdaBoost + Decision Tree,0.978,0.9778672032193159
8,SVM (Linear),0.676,0.676
8,SVM (Polynomial),0.978,0.9777777777777777
8,SVM (RBF),0.976,0.9758064516129032
8,SVM (Sigmoid),0.824,0.8211382113821138
9,Decision Tree,0.94,0.94
9,AdaBoost + Decision Tree,0.97,0.9701789264413518
9,SVM (Linear),0.66,0.6586345381526104
9,SVM (Polynomial),0.992,0.9919678714859438
9,SVM (RBF),0.99,0.9899799599198397
9,SVM (Sigmoid),0.82,0.8170731707317073
